datetimes,load_profile,y
2016-01-02 00:00:00,1800,1776
2016-01-02 06:00:00,1784,1760
2016-01-02 12:00:00,1690,1724
2016-01-02 18:00:00,1776,1696
2016-01-03 00:00:00,1760,1804
2016-01-03 06:00:00,1724,1926
2016-01-03 12:00:00,1696,7152
2016-01-03 18:00:00,1804,6638
2016-01-04 00:00:00,1926,2010
2016-01-04 06:00:00,7152,1260
2016-01-04 12:00:00,6638,6872
2016-01-04 18:00:00,2010,8138
2016-01-05 00:00:00,1260,3094
2016-01-05 06:00:00,6872,1926
2016-01-05 12:00:00,8138,1950
2016-01-05 18:00:00,3094,1884
2016-01-06 00:00:00,1926,1964
2016-01-06 06:00:00,1950,2092
2016-01-06 12:00:00,1884,9474
2016-01-06 18:00:00,1964,9620
2016-01-07 00:00:00,2092,3918
2016-01-07 06:00:00,9474,2724
2016-01-07 12:00:00,9620,10256
2016-01-07 18:00:00,3918,10500
2016-01-08 00:00:00,2724,3502
2016-01-08 06:00:00,10256,1868
2016-01-08 12:00:00,10500,4494
2016-01-08 18:00:00,3502,1772
2016-01-09 00:00:00,1868,1832
2016-01-09 06:00:00,4494,1844
2016-01-09 12:00:00,1772,1802
2016-01-09 18:00:00,1832,1764
2016-01-10 00:00:00,1844,1834
2016-01-10 06:00:00,1802,1950
2016-01-10 12:00:00,1764,13196
2016-01-10 18:00:00,1834,15714
2016-01-11 00:00:00,1950,3440
2016-01-11 06:00:00,13196,2404
2016-01-11 12:00:00,15714,16554
2016-01-11 18:00:00,3440,17704
2016-01-12 00:00:00,2404,4032
2016-01-12 06:00:00,16554,2462
2016-01-12 12:00:00,17704,15212
2016-01-12 18:00:00,4032,16898
2016-01-13 00:00:00,2462,3830
2016-01-13 06:00:00,15212,2484
2016-01-13 12:00:00,16898,15880
2016-01-13 18:00:00,3830,17524
2016-01-14 00:00:00,2484,4026
2016-01-14 06:00:00,15880,2466
2016-01-14 12:00:00,17524,17102
2016-01-14 18:00:00,4026,18074
2016-01-15 00:00:00,2466,3104
2016-01-15 06:00:00,17102,2022
2016-01-15 12:00:00,18074,2686
2016-01-15 18:00:00,3104,1958
2016-01-16 00:00:00,2022,2010
2016-01-16 06:00:00,2686,2006
2016-01-16 12:00:00,1958,1980
2016-01-16 18:00:00,2010,1974
2016-01-17 00:00:00,2006,2060
2016-01-17 06:00:00,1980,2098
2016-01-17 12:00:00,1974,15944
2016-01-17 18:00:00,2060,17356
2016-01-18 00:00:00,2098,5970
2016-01-18 06:00:00,15944,3300
2016-01-18 12:00:00,17356,16080
2016-01-18 18:00:00,5970,17728
2016-01-19 00:00:00,3300,5142
2016-01-19 06:00:00,16080,1848
2016-01-19 12:00:00,17728,15962
2016-01-19 18:00:00,5142,17518
2016-01-20 00:00:00,1848,5004
2016-01-20 06:00:00,15962,1790
2016-01-20 12:00:00,17518,14808
2016-01-20 18:00:00,5004,16760
2016-01-21 00:00:00,1790,3334
2016-01-21 06:00:00,14808,1948
2016-01-21 12:00:00,16760,16084
2016-01-21 18:00:00,3334,16426
2016-01-22 00:00:00,1948,2062
2016-01-22 06:00:00,16084,1144
2016-01-22 12:00:00,16426,1664
2016-01-22 18:00:00,2062,1080
2016-01-23 00:00:00,1144,1172
2016-01-23 06:00:00,1664,1164
2016-01-23 12:00:00,1080,1154
2016-01-23 18:00:00,1172,1062
2016-01-24 00:00:00,1164,1178
2016-01-24 06:00:00,1154,1288
2016-01-24 12:00:00,1062,15358
2016-01-24 18:00:00,1178,16482
2016-01-25 00:00:00,1288,5506
2016-01-25 06:00:00,15358,1720
2016-01-25 12:00:00,16482,16206
2016-01-25 18:00:00,5506,19322
2016-01-26 00:00:00,1720,6236
2016-01-26 06:00:00,16206,1672
2016-01-26 12:00:00,19322,16854
2016-01-26 18:00:00,6236,19094
2016-01-27 00:00:00,1672,5502
2016-01-27 06:00:00,16854,1854
2016-01-27 12:00:00,19094,18424
2016-01-27 18:00:00,5502,20098
2016-01-28 00:00:00,1854,5976
2016-01-28 06:00:00,18424,2576
2016-01-28 12:00:00,20098,17304
2016-01-28 18:00:00,5976,19120
2016-01-29 00:00:00,2576,2844
2016-01-29 06:00:00,17304,1964
2016-01-29 12:00:00,19120,5396
2016-01-29 18:00:00,2844,3610
2016-01-30 00:00:00,1964,1922
2016-01-30 06:00:00,5396,1912
2016-01-30 12:00:00,3610,1870
2016-01-30 18:00:00,1922,1846
2016-01-31 00:00:00,1912,1968
2016-01-31 06:00:00,1870,2054
2016-01-31 12:00:00,1846,15360
2016-01-31 18:00:00,1968,17930
2016-02-01 00:00:00,2054,3784
2016-02-01 06:00:00,15360,2272
2016-02-01 12:00:00,17930,16954
2016-02-01 18:00:00,3784,19504
2016-02-02 00:00:00,2272,4448
2016-02-02 06:00:00,16954,2444
2016-02-02 12:00:00,19504,16910
2016-02-02 18:00:00,4448,19244
2016-02-03 00:00:00,2444,3912
2016-02-03 06:00:00,16910,1704
2016-02-03 12:00:00,19244,18762
2016-02-03 18:00:00,3912,19064
2016-02-04 00:00:00,1704,3372
2016-02-04 06:00:00,18762,1818
2016-02-04 12:00:00,19064,14390
2016-02-04 18:00:00,3372,14806
2016-02-05 00:00:00,1818,2122
2016-02-05 06:00:00,14390,2064
2016-02-05 12:00:00,14806,2132
2016-02-05 18:00:00,2122,1900
2016-02-06 00:00:00,2064,2006
2016-02-06 06:00:00,2132,2022
2016-02-06 12:00:00,1900,1988
2016-02-06 18:00:00,2006,1166
2016-02-07 00:00:00,2022,1162
2016-02-07 06:00:00,1988,1262
2016-02-07 12:00:00,1166,12160
2016-02-07 18:00:00,1162,13274
2016-02-08 00:00:00,1262,2520
2016-02-08 06:00:00,12160,1468
2016-02-08 12:00:00,13274,14898
2016-02-08 18:00:00,2520,15360
2016-02-09 00:00:00,1468,2878
2016-02-09 06:00:00,14898,1608
2016-02-09 12:00:00,15360,15666
2016-02-09 18:00:00,2878,17950
2016-02-10 00:00:00,1608,3104
2016-02-10 06:00:00,15666,1814
2016-02-10 12:00:00,17950,16784
2016-02-10 18:00:00,3104,17998
2016-02-11 00:00:00,1814,4292
2016-02-11 06:00:00,16784,1698
2016-02-11 12:00:00,17998,17766
2016-02-11 18:00:00,4292,17508
2016-02-12 00:00:00,1698,2186
2016-02-12 06:00:00,17766,1062
2016-02-12 12:00:00,17508,2976
2016-02-12 18:00:00,2186,1028
2016-02-13 00:00:00,1062,1026
2016-02-13 06:00:00,2976,1032
2016-02-13 12:00:00,1028,986
2016-02-13 18:00:00,1026,986
2016-02-14 00:00:00,1032,1064
2016-02-14 06:00:00,986,1228
2016-02-14 12:00:00,986,17296
2016-02-14 18:00:00,1064,18476
2016-02-15 00:00:00,1228,4164
2016-02-15 06:00:00,17296,1854
2016-02-15 12:00:00,18476,17390
2016-02-15 18:00:00,4164,19022
2016-02-16 00:00:00,1854,4994
2016-02-16 06:00:00,17390,1760
2016-02-16 12:00:00,19022,15540
2016-02-16 18:00:00,4994,18400
2016-02-17 00:00:00,1760,5100
2016-02-17 06:00:00,15540,1852
2016-02-17 12:00:00,18400,17320
2016-02-17 18:00:00,5100,18902
2016-02-18 00:00:00,1852,3690
2016-02-18 06:00:00,17320,1770
2016-02-18 12:00:00,18902,16518
2016-02-18 18:00:00,3690,18606
2016-02-19 00:00:00,1770,3252
2016-02-19 06:00:00,16518,1252
2016-02-19 12:00:00,18606,1700
2016-02-19 18:00:00,3252,1148
2016-02-20 00:00:00,1252,1026
2016-02-20 06:00:00,1700,1022
2016-02-20 12:00:00,1148,988
2016-02-20 18:00:00,1026,946
2016-02-21 00:00:00,1022,1064
2016-02-21 06:00:00,988,1192
2016-02-21 12:00:00,946,15662
2016-02-21 18:00:00,1064,18938
2016-02-22 00:00:00,1192,4362
2016-02-22 06:00:00,15662,1724
2016-02-22 12:00:00,18938,17584
2016-02-22 18:00:00,4362,19690
2016-02-23 00:00:00,1724,5112
2016-02-23 06:00:00,17584,2456
2016-02-23 12:00:00,19690,18032
2016-02-23 18:00:00,5112,18298
2016-02-24 00:00:00,2456,3498
2016-02-24 06:00:00,18032,1622
2016-02-24 12:00:00,18298,19510
2016-02-24 18:00:00,3498,19308
2016-02-25 00:00:00,1622,3260
2016-02-25 06:00:00,19510,1530
2016-02-25 12:00:00,19308,17312
2016-02-25 18:00:00,3260,17144
2016-02-26 00:00:00,1530,1996
2016-02-26 06:00:00,17312,1024
2016-02-26 12:00:00,17144,2256
2016-02-26 18:00:00,1996,946
2016-02-27 00:00:00,1024,1006
2016-02-27 06:00:00,2256,1014
2016-02-27 12:00:00,946,988
2016-02-27 18:00:00,1006,916
2016-02-28 00:00:00,1014,994
2016-02-28 06:00:00,988,1082
2016-02-28 12:00:00,916,15252
2016-02-28 18:00:00,994,18156
2016-02-29 00:00:00,1082,4188
2016-02-29 06:00:00,15252,1534
2016-02-29 12:00:00,18156,15628
2016-02-29 18:00:00,4188,17046
2016-03-01 00:00:00,1534,2998
2016-03-01 06:00:00,15628,1512
2016-03-01 12:00:00,17046,17946
2016-03-01 18:00:00,2998,19902
2016-03-02 00:00:00,1512,3452
2016-03-02 06:00:00,17946,1822
2016-03-02 12:00:00,19902,16744
2016-03-02 18:00:00,3452,17914
2016-03-03 00:00:00,1822,3374
2016-03-03 06:00:00,16744,1792
2016-03-03 12:00:00,17914,16588
2016-03-03 18:00:00,3374,17188
2016-03-04 00:00:00,1792,2482
2016-03-04 06:00:00,16588,1296
2016-03-04 12:00:00,17188,2710
2016-03-04 18:00:00,2482,1318
2016-03-05 00:00:00,1296,1132
2016-03-05 06:00:00,2710,1160
2016-03-05 12:00:00,1318,1142
2016-03-05 18:00:00,1132,1074
2016-03-06 00:00:00,1160,1174
2016-03-06 06:00:00,1142,1802
2016-03-06 12:00:00,1074,15134
2016-03-06 18:00:00,1174,18464
2016-03-07 00:00:00,1802,4818
2016-03-07 06:00:00,15134,2364
2016-03-07 12:00:00,18464,17316
2016-03-07 18:00:00,4818,18788
2016-03-08 00:00:00,2364,5466
2016-03-08 06:00:00,17316,1544
2016-03-08 12:00:00,18788,17362
2016-03-08 18:00:00,5466,17728
