datetimes,load_profile,y
2016-01-01 00:15:00,70,70
2016-01-01 00:30:00,74,74
2016-01-01 00:45:00,68,72
2016-01-01 01:00:00,80,76
2016-01-01 01:15:00,72,76
2016-01-01 01:30:00,74,74
2016-01-01 01:45:00,70,70
2016-01-01 02:00:00,76,68
2016-01-01 02:15:00,70,78
2016-01-01 02:30:00,74,74
2016-01-01 02:45:00,72,70
2016-01-01 03:00:00,76,74
2016-01-01 03:15:00,76,78
2016-01-01 03:30:00,74,74
2016-01-01 03:45:00,70,72
2016-01-01 04:00:00,68,78
2016-01-01 04:15:00,78,74
2016-01-01 04:30:00,74,78
2016-01-01 04:45:00,70,70
2016-01-01 05:00:00,74,74
2016-01-01 05:15:00,78,74
2016-01-01 05:30:00,74,80
2016-01-01 05:45:00,72,74
2016-01-01 06:00:00,78,76
2016-01-01 06:15:00,74,52
2016-01-01 06:30:00,78,34
2016-01-01 06:45:00,70,38
2016-01-01 07:00:00,74,36
2016-01-01 07:15:00,74,34
2016-01-01 07:30:00,80,32
2016-01-01 07:45:00,74,42
2016-01-01 08:00:00,76,36
2016-01-01 08:15:00,52,34
2016-01-01 08:30:00,34,38
2016-01-01 08:45:00,38,34
2016-01-01 09:00:00,36,44
2016-01-01 09:15:00,34,34
2016-01-01 09:30:00,32,36
2016-01-01 09:45:00,42,36
2016-01-01 10:00:00,36,36
2016-01-01 10:15:00,34,36
2016-01-01 10:30:00,38,32
2016-01-01 10:45:00,34,34
2016-01-01 11:00:00,44,32
2016-01-01 11:15:00,34,34
2016-01-01 11:30:00,36,34
2016-01-01 11:45:00,36,32
2016-01-01 12:00:00,36,36
2016-01-01 12:15:00,36,38
2016-01-01 12:30:00,32,44
2016-01-01 12:45:00,34,38
2016-01-01 13:00:00,32,34
2016-01-01 13:15:00,34,34
2016-01-01 13:30:00,34,42
2016-01-01 13:45:00,32,34
2016-01-01 14:00:00,36,42
2016-01-01 14:15:00,38,34
2016-01-01 14:30:00,44,38
2016-01-01 14:45:00,38,42
2016-01-01 15:00:00,34,38
2016-01-01 15:15:00,34,38
2016-01-01 15:30:00,42,38
2016-01-01 15:45:00,34,38
2016-01-01 16:00:00,42,46
2016-01-01 16:15:00,34,40
2016-01-01 16:30:00,38,40
2016-01-01 16:45:00,42,40
2016-01-01 17:00:00,38,44
2016-01-01 17:15:00,38,40
2016-01-01 17:30:00,38,44
2016-01-01 17:45:00,38,40
2016-01-01 18:00:00,46,60
2016-01-01 18:15:00,40,80
2016-01-01 18:30:00,40,76
2016-01-01 18:45:00,40,78
2016-01-01 19:00:00,44,82
2016-01-01 19:15:00,40,74
2016-01-01 19:30:00,44,76
2016-01-01 19:45:00,40,74
2016-01-01 20:00:00,60,74
2016-01-01 20:15:00,80,74
2016-01-01 20:30:00,76,74
2016-01-01 20:45:00,78,80
2016-01-01 21:00:00,82,74
2016-01-01 21:15:00,74,74
2016-01-01 21:30:00,76,72
2016-01-01 21:45:00,74,72
2016-01-01 22:00:00,74,74
2016-01-01 22:15:00,74,70
2016-01-01 22:30:00,74,74
2016-01-01 22:45:00,80,76
2016-01-01 23:00:00,74,76
2016-01-01 23:15:00,74,74
2016-01-01 23:30:00,72,76
2016-01-01 23:45:00,72,74
2016-01-02 00:00:00,74,74
2016-01-02 00:15:00,70,82
2016-01-02 00:30:00,74,74
2016-01-02 00:45:00,76,76
2016-01-02 01:00:00,76,76
2016-01-02 01:15:00,74,74
2016-01-02 01:30:00,76,82
2016-01-02 01:45:00,74,72
2016-01-02 02:00:00,74,74
2016-01-02 02:15:00,82,72
2016-01-02 02:30:00,74,74
2016-01-02 02:45:00,76,76
2016-01-02 03:00:00,76,74
2016-01-02 03:15:00,74,74
2016-01-02 03:30:00,82,74
2016-01-02 03:45:00,72,78
2016-01-02 04:00:00,74,74
2016-01-02 04:15:00,72,76
2016-01-02 04:30:00,74,76
2016-01-02 04:45:00,76,82
2016-01-02 05:00:00,74,78
2016-01-02 05:15:00,74,74
2016-01-02 05:30:00,74,76
2016-01-02 05:45:00,78,82
2016-01-02 06:00:00,74,76
2016-01-02 06:15:00,76,76
2016-01-02 06:30:00,76,70
2016-01-02 06:45:00,82,70
2016-01-02 07:00:00,78,76
2016-01-02 07:15:00,74,72
2016-01-02 07:30:00,76,68
2016-01-02 07:45:00,82,74
2016-01-02 08:00:00,76,76
2016-01-02 08:15:00,76,72
2016-01-02 08:30:00,70,72
2016-01-02 08:45:00,70,72
2016-01-02 09:00:00,76,72
2016-01-02 09:15:00,72,74
2016-01-02 09:30:00,68,68
2016-01-02 09:45:00,74,78
2016-01-02 10:00:00,76,70
2016-01-02 10:15:00,72,68
2016-01-02 10:30:00,72,74
2016-01-02 10:45:00,72,68
2016-01-02 11:00:00,72,64
2016-01-02 11:15:00,74,72
2016-01-02 11:30:00,68,74
2016-01-02 11:45:00,78,70
2016-01-02 12:00:00,70,68
2016-01-02 12:15:00,68,68
2016-01-02 12:30:00,74,70
2016-01-02 12:45:00,68,74
2016-01-02 13:00:00,64,70
2016-01-02 13:15:00,72,68
2016-01-02 13:30:00,74,70
2016-01-02 13:45:00,70,74
2016-01-02 14:00:00,68,68
2016-01-02 14:15:00,68,70
2016-01-02 14:30:00,70,68
2016-01-02 14:45:00,74,76
2016-01-02 15:00:00,70,70
2016-01-02 15:15:00,68,72
2016-01-02 15:30:00,70,72
2016-01-02 15:45:00,74,72
2016-01-02 16:00:00,68,76
2016-01-02 16:15:00,70,74
2016-01-02 16:30:00,68,76
2016-01-02 16:45:00,76,70
2016-01-02 17:00:00,70,76
2016-01-02 17:15:00,72,74
2016-01-02 17:30:00,72,72
2016-01-02 17:45:00,72,74
2016-01-02 18:00:00,76,84
2016-01-02 18:15:00,74,72
2016-01-02 18:30:00,76,76
2016-01-02 18:45:00,70,76
2016-01-02 19:00:00,76,74
2016-01-02 19:15:00,74,78
2016-01-02 19:30:00,72,74
2016-01-02 19:45:00,74,72
2016-01-02 20:00:00,84,70
2016-01-02 20:15:00,72,78
2016-01-02 20:30:00,76,72
2016-01-02 20:45:00,76,72
2016-01-02 21:00:00,74,70
2016-01-02 21:15:00,78,68
2016-01-02 21:30:00,74,78
2016-01-02 21:45:00,72,70
2016-01-02 22:00:00,70,72
2016-01-02 22:15:00,78,72
2016-01-02 22:30:00,72,74
2016-01-02 22:45:00,72,70
2016-01-02 23:00:00,70,74
2016-01-02 23:15:00,68,74
2016-01-02 23:30:00,78,72
2016-01-02 23:45:00,70,76
2016-01-03 00:00:00,72,78
2016-01-03 00:15:00,72,72
2016-01-03 00:30:00,74,76
2016-01-03 00:45:00,70,78
2016-01-03 01:00:00,74,78
2016-01-03 01:15:00,74,72
2016-01-03 01:30:00,72,74
2016-01-03 01:45:00,76,72
2016-01-03 02:00:00,78,70
2016-01-03 02:15:00,72,76
2016-01-03 02:30:00,76,72
2016-01-03 02:45:00,78,68
2016-01-03 03:00:00,78,70
2016-01-03 03:15:00,72,76
2016-01-03 03:30:00,74,70
2016-01-03 03:45:00,72,74
2016-01-03 04:00:00,70,74
2016-01-03 04:15:00,76,76
2016-01-03 04:30:00,72,78
2016-01-03 04:45:00,68,74
2016-01-03 05:00:00,70,70
2016-01-03 05:15:00,76,76
2016-01-03 05:30:00,70,74
2016-01-03 05:45:00,74,80
2016-01-03 06:00:00,74,76
2016-01-03 06:15:00,76,72
2016-01-03 06:30:00,78,66
2016-01-03 06:45:00,74,68
2016-01-03 07:00:00,70,68
2016-01-03 07:15:00,76,74
2016-01-03 07:30:00,74,70
2016-01-03 07:45:00,80,70
2016-01-03 08:00:00,76,66
2016-01-03 08:15:00,72,76
2016-01-03 08:30:00,66,70
2016-01-03 08:45:00,68,68
2016-01-03 09:00:00,68,70
2016-01-03 09:15:00,74,70
2016-01-03 09:30:00,70,68
2016-01-03 09:45:00,70,70
2016-01-03 10:00:00,66,68
2016-01-03 10:15:00,76,70
2016-01-03 10:30:00,70,76
2016-01-03 10:45:00,68,70
2016-01-03 11:00:00,70,64
2016-01-03 11:15:00,70,72
2016-01-03 11:30:00,68,72
2016-01-03 11:45:00,70,72
2016-01-03 12:00:00,68,68
2016-01-03 12:15:00,70,68
2016-01-03 12:30:00,76,70
2016-01-03 12:45:00,70,74
2016-01-03 13:00:00,64,68
2016-01-03 13:15:00,72,68
2016-01-03 13:30:00,72,68
2016-01-03 13:45:00,72,68
2016-01-03 14:00:00,68,74
2016-01-03 14:15:00,68,72
2016-01-03 14:30:00,70,68
2016-01-03 14:45:00,74,72
2016-01-03 15:00:00,68,70
2016-01-03 15:15:00,68,76
2016-01-03 15:30:00,68,74
2016-01-03 15:45:00,68,74
2016-01-03 16:00:00,74,74
2016-01-03 16:15:00,72,78
2016-01-03 16:30:00,68,76
2016-01-03 16:45:00,72,70
2016-01-03 17:00:00,70,74
2016-01-03 17:15:00,76,76
2016-01-03 17:30:00,74,80
2016-01-03 17:45:00,74,76
2016-01-03 18:00:00,74,76
2016-01-03 18:15:00,78,80
2016-01-03 18:30:00,76,78
2016-01-03 18:45:00,70,82
2016-01-03 19:00:00,74,74
2016-01-03 19:15:00,76,72
2016-01-03 19:30:00,80,64
2016-01-03 19:45:00,76,74
2016-01-03 20:00:00,76,80
2016-01-03 20:15:00,80,78
2016-01-03 20:30:00,78,74
2016-01-03 20:45:00,82,72
2016-01-03 21:00:00,74,72
2016-01-03 21:15:00,72,78
2016-01-03 21:30:00,64,74
2016-01-03 21:45:00,74,72
2016-01-03 22:00:00,80,74
2016-01-03 22:15:00,78,74
2016-01-03 22:30:00,74,78
2016-01-03 22:45:00,72,74
2016-01-03 23:00:00,72,74
2016-01-03 23:15:00,78,74
2016-01-03 23:30:00,74,80
2016-01-03 23:45:00,72,72
2016-01-04 00:00:00,74,74
2016-01-04 00:15:00,74,78
2016-01-04 00:30:00,78,78
2016-01-04 00:45:00,74,80
2016-01-04 01:00:00,74,74
2016-01-04 01:15:00,74,82
2016-01-04 01:30:00,80,76
2016-01-04 01:45:00,72,78
2016-01-04 02:00:00,74,82
2016-01-04 02:15:00,78,74
2016-01-04 02:30:00,78,74
2016-01-04 02:45:00,80,74
2016-01-04 03:00:00,74,78
2016-01-04 03:15:00,82,94
2016-01-04 03:30:00,76,98
2016-01-04 03:45:00,78,132
2016-01-04 04:00:00,82,126
2016-01-04 04:15:00,74,166
2016-01-04 04:30:00,74,170
2016-01-04 04:45:00,74,196
2016-01-04 05:00:00,78,220
2016-01-04 05:15:00,94,240
2016-01-04 05:30:00,98,298
2016-01-04 05:45:00,132,322
2016-01-04 06:00:00,126,318
2016-01-04 06:15:00,166,320
2016-01-04 06:30:00,170,320
2016-01-04 06:45:00,196,334
2016-01-04 07:00:00,220,334
2016-01-04 07:15:00,240,332
2016-01-04 07:30:00,298,338
2016-01-04 07:45:00,322,342
2016-01-04 08:00:00,318,344
2016-01-04 08:15:00,320,342
2016-01-04 08:30:00,320,360
2016-01-04 08:45:00,334,370
2016-01-04 09:00:00,334,366
2016-01-04 09:15:00,332,344
2016-01-04 09:30:00,338,320
2016-01-04 09:45:00,342,330
2016-01-04 10:00:00,344,324
2016-01-04 10:15:00,342,320
2016-01-04 10:30:00,360,310
2016-01-04 10:45:00,370,308
2016-01-04 11:00:00,366,314
2016-01-04 11:15:00,344,324
2016-01-04 11:30:00,320,322
2016-01-04 11:45:00,330,306
2016-01-04 12:00:00,324,326
2016-01-04 12:15:00,320,316
2016-01-04 12:30:00,310,304
2016-01-04 12:45:00,308,308
2016-01-04 13:00:00,314,294
2016-01-04 13:15:00,324,290
2016-01-04 13:30:00,322,302
2016-01-04 13:45:00,306,282
2016-01-04 14:00:00,326,262
2016-01-04 14:15:00,316,258
2016-01-04 14:30:00,304,226
2016-01-04 14:45:00,308,218
2016-01-04 15:00:00,294,200
2016-01-04 15:15:00,290,198
2016-01-04 15:30:00,302,186
2016-01-04 15:45:00,282,140
2016-01-04 16:00:00,262,118
2016-01-04 16:15:00,258,122
2016-01-04 16:30:00,226,116
2016-01-04 16:45:00,218,114
2016-01-04 17:00:00,200,112
2016-01-04 17:15:00,198,110
2016-01-04 17:30:00,186,114
2016-01-04 17:45:00,140,108
2016-01-04 18:00:00,118,116
2016-01-04 18:15:00,122,116
2016-01-04 18:30:00,116,110
2016-01-04 18:45:00,114,110
2016-01-04 19:00:00,112,78
2016-01-04 19:15:00,110,58
2016-01-04 19:30:00,114,60
2016-01-04 19:45:00,108,56
2016-01-04 20:00:00,116,50
2016-01-04 20:15:00,116,56
