datetimes,load_profile,col,y
2016-01-01 00:15:00,70,70,74
2016-01-01 00:30:00,74,74,78
2016-01-01 00:45:00,68,68,70
2016-01-01 01:00:00,80,80,74
2016-01-01 01:15:00,72,72,74
2016-01-01 01:30:00,74,74,80
2016-01-01 01:45:00,70,70,74
2016-01-01 02:00:00,76,76,76
2016-01-01 02:15:00,70,70,52
2016-01-01 02:30:00,74,74,34
2016-01-01 02:45:00,72,72,38
2016-01-01 03:00:00,76,76,36
2016-01-01 03:15:00,76,76,34
2016-01-01 03:30:00,74,74,32
2016-01-01 03:45:00,70,70,42
2016-01-01 04:00:00,68,68,36
2016-01-01 04:15:00,78,78,34
2016-01-01 04:30:00,74,74,38
2016-01-01 04:45:00,70,70,34
2016-01-01 05:00:00,74,74,44
2016-01-01 05:15:00,78,78,34
2016-01-01 05:30:00,74,74,36
2016-01-01 05:45:00,72,72,36
2016-01-01 06:00:00,78,78,36
2016-01-01 06:15:00,74,74,36
2016-01-01 06:30:00,78,78,32
2016-01-01 06:45:00,70,70,34
2016-01-01 07:00:00,74,74,32
2016-01-01 07:15:00,74,74,34
2016-01-01 07:30:00,80,80,34
2016-01-01 07:45:00,74,74,32
2016-01-01 08:00:00,76,76,36
2016-01-01 08:15:00,52,52,38
2016-01-01 08:30:00,34,34,44
2016-01-01 08:45:00,38,38,38
2016-01-01 09:00:00,36,36,34
2016-01-01 09:15:00,34,34,34
2016-01-01 09:30:00,32,32,42
2016-01-01 09:45:00,42,42,34
2016-01-01 10:00:00,36,36,42
2016-01-01 10:15:00,34,34,34
2016-01-01 10:30:00,38,38,38
2016-01-01 10:45:00,34,34,42
2016-01-01 11:00:00,44,44,38
2016-01-01 11:15:00,34,34,38
2016-01-01 11:30:00,36,36,38
2016-01-01 11:45:00,36,36,38
2016-01-01 12:00:00,36,36,46
2016-01-01 12:15:00,36,36,40
2016-01-01 12:30:00,32,32,40
2016-01-01 12:45:00,34,34,40
2016-01-01 13:00:00,32,32,44
2016-01-01 13:15:00,34,34,40
2016-01-01 13:30:00,34,34,44
2016-01-01 13:45:00,32,32,40
2016-01-01 14:00:00,36,36,60
2016-01-01 14:15:00,38,38,80
2016-01-01 14:30:00,44,44,76
2016-01-01 14:45:00,38,38,78
2016-01-01 15:00:00,34,34,82
2016-01-01 15:15:00,34,34,74
2016-01-01 15:30:00,42,42,76
2016-01-01 15:45:00,34,34,74
2016-01-01 16:00:00,42,42,74
2016-01-01 16:15:00,34,34,74
2016-01-01 16:30:00,38,38,74
2016-01-01 16:45:00,42,42,80
2016-01-01 17:00:00,38,38,74
2016-01-01 17:15:00,38,38,74
2016-01-01 17:30:00,38,38,72
2016-01-01 17:45:00,38,38,72
2016-01-01 18:00:00,46,46,74
2016-01-01 18:15:00,40,40,70
2016-01-01 18:30:00,40,40,74
2016-01-01 18:45:00,40,40,76
2016-01-01 19:00:00,44,44,76
2016-01-01 19:15:00,40,40,74
2016-01-01 19:30:00,44,44,76
2016-01-01 19:45:00,40,40,74
2016-01-01 20:00:00,60,60,74
2016-01-01 20:15:00,80,80,82
2016-01-01 20:30:00,76,76,74
2016-01-01 20:45:00,78,78,76
2016-01-01 21:00:00,82,82,76
2016-01-01 21:15:00,74,74,74
2016-01-01 21:30:00,76,76,82
2016-01-01 21:45:00,74,74,72
2016-01-01 22:00:00,74,74,74
2016-01-01 22:15:00,74,74,72
2016-01-01 22:30:00,74,74,74
2016-01-01 22:45:00,80,80,76
2016-01-01 23:00:00,74,74,74
2016-01-01 23:15:00,74,74,74
2016-01-01 23:30:00,72,72,74
2016-01-01 23:45:00,72,72,78
2016-01-02 00:00:00,74,74,74
2016-01-02 00:15:00,70,70,76
2016-01-02 00:30:00,74,74,76
2016-01-02 00:45:00,76,76,82
2016-01-02 01:00:00,76,76,78
2016-01-02 01:15:00,74,74,74
2016-01-02 01:30:00,76,76,76
2016-01-02 01:45:00,74,74,82
2016-01-02 02:00:00,74,74,76
2016-01-02 02:15:00,82,82,76
2016-01-02 02:30:00,74,74,70
2016-01-02 02:45:00,76,76,70
2016-01-02 03:00:00,76,76,76
2016-01-02 03:15:00,74,74,72
